Adjective,Language,masculine_similarity,feminine_similarity,exclusive_masculine_similarity,exclusive_feminine_similarity,neuter_similarity,depersonalized_masculine_similarity,depersonalized_feminine_similarity,adjective.masc-form,adjective.fem-form,grammatical_gender,masculine_score,feminine_score,Definition
transgen,German,0.2861942010699716,0.2975237300451401,0.0,0.0,0.3059122204943368,0.2883676071982082,0.2652144504617089,,,,0.2861942010699716,0.2975237300451401,"( genetics , biotechnology ) transgenic 2016 March 27, Wolfgang Löhr, “Neue Methoden zur Genmanipulation: Einfach, schnell und nicht teuer”, in Die Tageszeitung: taz ‎ [1] , →ISSN : Deshalb enthielten diese transgenen Pflanzen oftmals Gensequenzen von drei oder mehr unterschiedlichen Organismen"
butch,German,0.2813242100822899,0.297420709502064,0.0,0.0,0.1844636035828695,0.2803601049538018,0.3172845847444245,,,,0.2813242100822899,0.297420709502064,"( slang , originally Polari ) Very masculine , with a masculine appearance or attitude "
treife,German,0.2731650406851162,0.2969783872525087,0.0,0.0,0.1371411413996804,0.2577673513340374,0.264981866669941,,,,0.2731650406851162,0.2969783872525087,Alternative spelling of treyf
frigid,German,0.2577054440110989,0.2966895208463577,0.0,0.0,0.1923051078086804,0.3314410376903135,0.2558929613570206,,,,0.2577054440110989,0.2966895208463577,Very cold ; lacking warmth ; icy 
psychisch,German,0.2937932360028081,0.2966480717646346,0.0,0.0,0.2695544713423957,0.2090996134952195,0.2526048181042019,,,,0.2937932360028081,0.2966480717646346,"psychical , mental"
calciumreich,German,0.3395138419802443,0.2965856792324581,0.0,0.0,0.2569165850369416,0.2050886035746598,0.2502662656385142,,,,0.3395138419802443,0.2965856792324581,calcium - rich
männermordend,German,0.3274485254195177,0.296475203841209,0.0,0.0,0.2631573753287891,0.3126329136018534,0.2899134621635655,,,,0.3274485254195177,0.296475203841209,"( relational ) man-killer , seductress"
großmütterlich,German,0.3480874197921179,0.2957831782753739,0.0,0.0,0.2207472105516021,0.2241117919732445,0.2137673382298083,,,,0.3480874197921179,0.2957831782753739,grandmotherly
zudringlich,German,0.2846235360192279,0.2948530576466,0.0,0.0,0.1785821189906579,0.1744569538901036,0.1731207610051068,,,,0.2846235360192279,0.2948530576466,intrusive
behauptet,German,0.3124845038203304,0.2935227076909319,0.0,0.0,0.1579464454287769,0.1334863081388255,0.1593184780508239,,,,0.3124845038203304,0.2935227076909319,"asserted , alleged"
infertil,German,0.2185754827895213,0.2933123923978453,0.0,0.0,0.2863657350601766,0.2403785334030603,0.2093353870632328,,,,0.2185754827895213,0.2933123923978453,infertile
autosexuell,German,0.321020528586544,0.2929666535889988,0.0,0.0,0.2289462836953863,0.2884986948433289,0.3293049746559012,,,,0.321020528586544,0.2929666535889988,autosexual
cognacfarben,German,0.267372984692336,0.2920660604042887,0.0,0.0,0.1733560099437592,0.2500677025002269,0.1991988906489853,,,,0.267372984692336,0.2920660604042887,cognac - coloured
gebärfähig,German,0.283404486403143,0.2916562796143435,0.0,0.0,0.2711444111552085,0.2630939086655965,0.193223686863309,,,,0.283404486403143,0.2916562796143435,prolific (capable of bearing children)
wohnhaft,German,0.3084660277406632,0.2913851059471884,0.0,0.0,0.1309725720268691,0.0653392548227182,0.0185677644258968,,,,0.3084660277406632,0.2913851059471884,resident (in the place mentioned)
davongelaufen,German,0.3475104737237925,0.2911139127474696,0.0,0.0,0.1309827713959475,0.0452097812063463,0.0716546071462713,,,,0.3475104737237925,0.2911139127474696,runaway eine davongelaufene Braut ― a runaway bride ein davongelaufener Dieb ― a runaway thief
beruflich,German,0.3302288438960347,0.2909777653308804,0.0,0.0,0.2077507980070286,0.1391654291060818,0.1649057626673445,,,,0.3302288438960347,0.2909777653308804,professional
sexistisch,German,0.2838458298826039,0.2904962325196575,0.0,0.0,0.214545895817531,0.4180721059979526,0.3684112564213267,,,,0.2838458298826039,0.2904962325196575,sexist
herrschsüchtig,German,0.2818569234406362,0.2902347191540846,0.0,0.0,0.2266078238693476,0.2285903603116941,0.2266141763950619,,,,0.2818569234406362,0.2902347191540846,domineering
reputierlich,German,0.3124143975453813,0.2902326939182123,0.0,0.0,0.2517921755287312,0.2069647815167524,0.186009333195477,,,,0.3124143975453813,0.2902326939182123,"reputable , honorable"
resolut,German,0.2610090172615584,0.2894877576122792,0.0,0.0,0.1281550031207404,0.2136664132939476,0.1724510116013075,,,,0.2610090172615584,0.2894877576122792,"resolute , determined"
