Adjective,Language,masculine_similarity,feminine_similarity,exclusive_masculine_similarity,exclusive_feminine_similarity,neuter_similarity,depersonalized_masculine_similarity,depersonalized_feminine_similarity,masculine_score,feminine_score,Alternate Form,Definition
transexual,Spanish,0.3961087997972831,0.5817258796649764,0.0,0.0,0.4319798836832614,0.3535903654285417,0.3498962504827487,0.3961087997972831,0.5817258796649764,,( rare ) Alternative spelling of transsexual
feminista,Spanish,0.3362938677255624,0.5433190365035291,0.0,0.0,0.2483042518960104,0.3741148031672273,0.4553858046061241,0.3362938677255624,0.5433190365035291,feministo,feminist
machista,Spanish,0.4158342092739414,0.532352045617488,0.0,0.0,0.2615478458469378,0.3150826961550854,0.505781293626047,0.4158342092739414,0.532352045617488,machisto,male chauvinistic
adolescente,Spanish,0.428050183060254,0.5222737186078135,0.0,0.0,0.4252269353884583,0.2596924421722942,0.2845394225448179,0.428050183060254,0.5222737186078135,,adolescent ( characteristic of adolescence )
casado,Spanish,0.4431740960576478,0.5107239989479245,0.0,0.0,0.3137386445638577,0.1587470861574775,0.1727241708573112,0.4431740960576478,0.5107239989479245,casada,married
bollera,Spanish,0.2507709735506573,0.5030009568917457,0.0,0.0,0.3316190948632868,0.3196221700487346,0.394662065226019,0.2507709735506573,0.5030009568917457,bollero,"lesbian 2020 June 28, Natalia Marcos, “‘Cárceles bolleras’ , ‘Homoterapia’: Todos los programas LGTBI que hay en la televisión por el Orgullo”, in El País ‎ [2] : A continuación, el programa también recupera Cárceles bolleras "
menstruante,Spanish,0.3770819880136193,0.4915434015115018,0.0,0.0,0.254937441442728,0.332330894770353,0.3781325267007172,0.3770819880136193,0.4915434015115018,,"menstruating 2015 October 12, “Así cambiaría el mundo si el hombre tuviera la menstruación”, in El País ‎ [1] : Y añade: ""El mundo prestaría más atención al tema, se crearían institutos de investigación de la menstruación, se destinarían recursos estatales, los médicos estarían menos preocupados por los ataques cardíacos (los hombres menstruantes tendrían menos riesgos) que por los cólicos o los calambres"""
bisexual,Spanish,0.3985955887130995,0.47665204014167,0.0,0.0,0.3557028387734621,0.311374115909324,0.3793082683197409,0.3985955887130995,0.47665204014167,,( of humans or other animals ) Sexually attracted to both same-gendered and different-gendered partners
femenino,Spanish,0.400616319274625,0.4765993720308568,0.0,0.0,0.2324984539015349,0.3473324023911532,0.429261018135301,0.400616319274625,0.4765993720308568,femenina,feminine ( of or relating to women )
virgen,Spanish,0.3055868011776722,0.4689063884136845,0.0,0.0,0.3005524008285228,0.1910941027764592,0.234288366542114,0.3055868011776722,0.4689063884136845,,virgin
mujeril,Spanish,0.3602881830059588,0.4683636173112354,0.0,0.0,0.2167626572420461,0.35980870106845,0.4587653324520401,0.3602881830059588,0.4683636173112354,,womanly Antonym: varonil
sexual,Spanish,0.3539168408668563,0.4649475650338677,0.0,0.0,0.2905916097588555,0.3306939847063885,0.5003367450762981,0.3539168408668563,0.4649475650338677,,"Arising from the fact of being male or female ; pertaining to sex or gender , or to the social relations between the sexes"
gestante,Spanish,0.2355339271622798,0.4643532602652031,0.0,0.0,0.3551409239088244,0.1680457363969595,0.2086688188622082,0.2355339271622798,0.4643532602652031,,"expectant , gestating ( pregnant )"
infiel,Spanish,0.4078122198425847,0.4641872700842582,0.0,0.0,0.3016925905358369,0.2478185399837562,0.2013069101420427,0.4078122198425847,0.4641872700842582,,"unfaithful , dishonest , disloyal ( cheater )"
transgenerista,Spanish,0.3244392291036247,0.4495605354774293,0.0,0.0,0.3336382040713204,0.478599146223946,0.3899275333216181,0.3244392291036247,0.4495605354774293,transgeneristo,"transgender 2017 September 19, “Los menores transgénero pueden modificar su registro civil antes de los 18: Corte”, in Vanguardia ‎ [1] : Así lo determinó la Corporación al fallar una tutela presentada por los padres de familia en favor de Manuel* su hijo transgenerista de 17 años, quien nació como mujer y que inició el proceso de transición de género a varón"
patriarcal,Spanish,0.3489807334312718,0.4367552597389519,0.0,0.0,0.1686891702264079,0.3119090652995097,0.5510802977902863,0.3489807334312718,0.4367552597389519,,patriarchal Antonym: matriarcal
intersexual,Spanish,0.3147682189352748,0.4358019122714081,0.0,0.0,0.3548375488016744,0.3698861570055458,0.351284331054275,0.3147682189352748,0.4358019122714081,,"( of a competition, etc"
desposado,Spanish,0.3920287863636023,0.435752691722079,0.0,0.0,0.2084029057160931,0.1791626239480479,0.1479645246290864,0.3920287863636023,0.435752691722079,desposada,Newly wed Synonym: esposado
inmigrante,Spanish,0.356819691802335,0.4355495480017808,0.0,0.0,0.3554553660082826,0.2364242603809264,0.2243232769447948,0.356819691802335,0.4355495480017808,,immigrant
sensual,Spanish,0.3389318631363379,0.4336345852627807,0.0,0.0,0.2313191803601541,0.3040590651781928,0.3870399834352198,0.3389318631363379,0.4336345852627807,,Inducing pleasurable or erotic sensations
profeminista,Spanish,0.3570233520481888,0.4301348032654601,0.0,0.0,0.2468519830016161,0.4329208198637047,0.4772552640570404,0.3570233520481888,0.4301348032654601,profeministo,profeminist
matriarcal,Spanish,0.3004061859505912,0.4292709478350899,0.0,0.0,0.181657519300389,0.2995737796183003,0.4789433871151677,0.3004061859505912,0.4292709478350899,,matriarchal
extramatrimonial,Spanish,0.2858515046074144,0.427732032333893,0.0,0.0,0.2850332500837816,0.2946263477393236,0.238217602029912,0.2858515046074144,0.427732032333893,,extramarital
