"AdjectiveID","meanAssociation","medianAssociation","meanObject","medianObject","meanPerson","medianPerson","percentKnown","Adjective"
"X50",1.26923076923077,1,1.80769230769231,2,1,1,100,"schwanger"
"X51",3.57692307692308,4,1.61538461538462,2,1,1,100,"sentimentalisch"
"X52",4.73076923076923,4.5,1.92307692307692,2,1,1,100,"sexbesessen"
"X53",4.19230769230769,4,1.53846153846154,2,1,1,100,"sterbend"
"X54",4.15384615384615,4,1.96153846153846,2,1,1,100,"stocknüchtern"
"X55",4.92307692307692,4,2,2,1,1,100,"sturzbetrunken"
"X56",4,4,1.57692307692308,2,1,1,100,"tot"
"X57",4,4,2.19230769230769,2,2,2,57.6923076923077,"transident"
"X58",3.72727272727273,4,1.61538461538462,1,1.5,1,84.6153846153846,"traut"
"X59",4.56,4,1.96153846153846,2,1.11538461538462,1,96.1538461538462,"unfallflüchtig"
"X6",3.76470588235294,4,1.88461538461538,2,2.15384615384615,2,65.3846153846154,"augenrein"
"X60",3.73076923076923,4,1.96153846153846,2,1,1,100,"unverheiratet"
"X61",4,4,1.84615384615385,2,1.73076923076923,1,73.0769230769231,"unzukömmlich"
"X62",4,4,1.92307692307692,2,1,1,100,"verheiratet"
"X63",3.8125,4,1.92307692307692,2,1.84615384615385,1,61.5384615384615,"verhutzelt"
"X64",3.57692307692308,4,1.76923076923077,2,1,1,100,"verliebt"
"X65",4.375,4,1.80769230769231,2,1.23076923076923,1,92.3076923076923,"verschnöselt"
"X66",2.80769230769231,3,1.96153846153846,2,1,1,100,"verwitwet"
"X67",4.23076923076923,4,1.92307692307692,2,1,1,100,"vorpubertierend"
"X68",4.09090909090909,4,2.03846153846154,2,1.38461538461538,1,84.6153846153846,"wonnetrunken"
"X69",4.07692307692308,4,1.92307692307692,2,1.03846153846154,1,100,"wortmächtig"
"X7",4.36,4,1.42307692307692,1,1.92307692307692,2,96.1538461538462,"ausländerfrei"
"X70",2.88461538461538,3,1.57692307692308,2,1,1,100,"zärtlich"
"X71",5,4,1.96153846153846,2,1.03846153846154,1,100,"aidskrank"
"X72",4.23809523809524,4,2.07692307692308,2,1.5,1,80.7692307692308,"altkrank"
"X73",5.23076923076923,5,2.19230769230769,2.5,2.11538461538462,2.5,50,"androzentrisch"
"X74",3.80769230769231,4,1.92307692307692,2,1,1,100,"angeheiratet"
"X75",4.15,4,2.07692307692308,2,1.53846153846154,1,76.9230769230769,"autosexuell"
"X76",2.04166666666667,1,1.92307692307692,2,1.15384615384615,1,92.3076923076923,"barbusig"
"X77",4.125,4,1.73076923076923,2,1.61538461538462,2,92.3076923076923,"behauptet"
"X78",4.15384615384615,4,1.61538461538462,2,1.23076923076923,1,100,"beruflich"
"X79",4.15384615384615,4,2,2,1,1,100,"berufstätig"
"X8",3,3,2.15384615384615,2,1.61538461538462,1,73.0769230769231,"befotzt"
"X80",2.95454545454545,3,1.84615384615385,2,1.38461538461538,1,84.6153846153846,"bezopft"
"X81",2.69230769230769,3,1.23076923076923,1,1,1,100,"bildhübsch"
"X82",1.96153846153846,2,1.84615384615385,2,1.03846153846154,1,100,"busig"
"X83",3.36363636363636,3,2.42307692307692,3,2.19230769230769,3,42.3076923076923,"butch"
"X84",4.23076923076923,4,1.03846153846154,1,1.92307692307692,2,100,"calciumreich"
"X85",4,4,1.07692307692308,1,1.76923076923077,2,96.1538461538462,"cognacfarben"
"X86",4.28,4,1.19230769230769,1,1.07692307692308,1,96.1538461538462,"cringe"
"X87",1.73076923076923,1.5,1.53846153846154,2,1,1,100,"damenhaft"
"X88",4,4,1.84615384615385,2,1.23076923076923,1,92.3076923076923,"davongelaufen"
"X89",3.82608695652174,4,1.53846153846154,1,1.57692307692308,1,88.4615384615385,"erogen"
"X9",4.34615384615385,4,1.88461538461538,2,1.03846153846154,1,100,"beinamputiert"
"X90",4,4,1.88461538461538,2,1.92307692307692,2,80.7692307692308,"erwidert"
"X91",2.95833333333333,3,1.80769230769231,2,1.26923076923077,1,92.3076923076923,"frigid"
"X92",2.90909090909091,3,1.92307692307692,2,1.30769230769231,1,84.6153846153846,"frigide"
"X93",1.34615384615385,1,1.92307692307692,2,1,1,100,"gebärfähig"
"X94",3.84615384615385,4,1.84615384615385,2,1.03846153846154,1,100,"gebürtig"
"X95",3.96153846153846,4,1.92307692307692,2,1,1,100,"geschieden"
"X96",1.61538461538462,1,1.57692307692308,2,1,1,100,"großmütterlich"
"X97",2.25,2,2.30769230769231,3,2.19230769230769,3,46.1538461538462,"gynozentrisch"
"X98",3.57692307692308,4,1.65384615384615,2,1,1,100,"halbnackt"
"X99",3.71428571428571,4,2.65384615384615,3,2.46153846153846,3,26.9230769230769,"honett"
